1960,8,1000 480 lb. Bales,NA
1961,18,1000 480 lb. Bales,125.00 %
1962,48,1000 480 lb. Bales,166.67 %
1963,38,1000 480 lb. Bales,-20.83 %
1964,35,1000 480 lb. Bales,-7.89 %
1965,39,1000 480 lb. Bales,11.43 %
1966,58,1000 480 lb. Bales,48.72 %
1967,60,1000 480 lb. Bales,3.45 %
1968,65,1000 480 lb. Bales,8.33 %
1969,70,1000 480 lb. Bales,7.69 %
1970,65,1000 480 lb. Bales,-7.14 %
1971,60,1000 480 lb. Bales,-7.69 %
1972,60,1000 480 lb. Bales,0.00 %
1973,90,1000 480 lb. Bales,50.00 %
1974,100,1000 480 lb. Bales,11.11 %
1975,95,1000 480 lb. Bales,-5.00 %
1976,90,1000 480 lb. Bales,-5.26 %
1977,75,1000 480 lb. Bales,-16.67 %
1978,50,1000 480 lb. Bales,-33.33 %
1979,70,1000 480 lb. Bales,40.00 %
1980,81,1000 480 lb. Bales,15.71 %
1981,32,1000 480 lb. Bales,-60.49 %
1982,98,1000 480 lb. Bales,206.25 %
1983,76,1000 480 lb. Bales,-22.45 %
1984,111,1000 480 lb. Bales,46.05 %
1985,112,1000 480 lb. Bales,0.90 %
1986,82,1000 480 lb. Bales,-26.79 %
1987,53,1000 480 lb. Bales,-35.37 %
1988,175,1000 480 lb. Bales,230.19 %
1989,75,1000 480 lb. Bales,-57.14 %
1990,60,1000 480 lb. Bales,-20.00 %
1991,60,1000 480 lb. Bales,0.00 %
1992,70,1000 480 lb. Bales,16.67 %
1993,59,1000 480 lb. Bales,-15.71 %
1994,52,1000 480 lb. Bales,-11.86 %
1995,58,1000 480 lb. Bales,11.54 %
1996,63,1000 480 lb. Bales,8.62 %
1997,52,1000 480 lb. Bales,-17.46 %
1998,41,1000 480 lb. Bales,-21.15 %
1999,40,1000 480 lb. Bales,-2.44 %
2000,28,1000 480 lb. Bales,-30.00 %
2001,17,1000 480 lb. Bales,-39.29 %
2002,19,1000 480 lb. Bales,11.76 %
2003,14,1000 480 lb. Bales,-26.32 %
2004,9,1000 480 lb. Bales,-35.71 %
2005,8,1000 480 lb. Bales,-11.11 %
2006,8,1000 480 lb. Bales,0.00 %
2007,8,1000 480 lb. Bales,0.00 %
2008,8,1000 480 lb. Bales,0.00 %
2009,8,1000 480 lb. Bales,0.00 %
2010,8,1000 480 lb. Bales,0.00 %
2011,45,1000 480 lb. Bales,462.50 %
2012,45,1000 480 lb. Bales,0.00 %
2013,45,1000 480 lb. Bales,0.00 %
2014,50,1000 480 lb. Bales,11.11 %
2015,55,1000 480 lb. Bales,10.00 %
2016,60,1000 480 lb. Bales,9.09 %
2017,70,1000 480 lb. Bales,16.67 %
2018,75,1000 480 lb. Bales,7.14 %
2019,75,1000 480 lb. Bales,0.00 %