1960,785,1000 480 lb. Bales,NA
1961,1315,1000 480 lb. Bales,67.52 %
1962,1381,1000 480 lb. Bales,5.02 %
1963,998,1000 480 lb. Bales,-27.73 %
1964,940,1000 480 lb. Bales,-5.81 %
1965,1184,1000 480 lb. Bales,25.96 %
1966,1465,1000 480 lb. Bales,23.73 %
1967,1625,1000 480 lb. Bales,10.92 %
1968,1821,1000 480 lb. Bales,12.06 %
1969,2038,1000 480 lb. Bales,11.92 %
1970,2017,1000 480 lb. Bales,-1.03 %
1971,2028,1000 480 lb. Bales,0.55 %
1972,1898,1000 480 lb. Bales,-6.41 %
1973,1844,1000 480 lb. Bales,-2.85 %
1974,2055,1000 480 lb. Bales,11.44 %
1975,1896,1000 480 lb. Bales,-7.74 %
1976,1444,1000 480 lb. Bales,-23.84 %
1977,1654,1000 480 lb. Bales,14.54 %
1978,1530,1000 480 lb. Bales,-7.50 %
1979,1189,1000 480 lb. Bales,-22.29 %
1980,759,1000 480 lb. Bales,-36.16 %
1981,964,1000 480 lb. Bales,27.01 %
1982,1609,1000 480 lb. Bales,66.91 %
1983,1891,1000 480 lb. Bales,17.53 %
1984,1743,1000 480 lb. Bales,-7.83 %
1985,1694,1000 480 lb. Bales,-2.81 %
1986,1832,1000 480 lb. Bales,8.15 %
1987,1555,1000 480 lb. Bales,-15.12 %
1988,1414,1000 480 lb. Bales,-9.07 %
1989,1048,1000 480 lb. Bales,-25.88 %
1990,603,1000 480 lb. Bales,-42.46 %
1991,529,1000 480 lb. Bales,-12.27 %
1992,345,1000 480 lb. Bales,-34.78 %
1993,291,1000 480 lb. Bales,-15.65 %
1994,432,1000 480 lb. Bales,48.45 %
1995,520,1000 480 lb. Bales,20.37 %
1996,522,1000 480 lb. Bales,0.38 %
1997,497,1000 480 lb. Bales,-4.79 %
1998,311,1000 480 lb. Bales,-37.42 %
1999,263,1000 480 lb. Bales,-15.43 %
2000,378,1000 480 lb. Bales,43.73 %
2001,521,1000 480 lb. Bales,37.83 %
2002,590,1000 480 lb. Bales,13.24 %
2003,504,1000 480 lb. Bales,-14.58 %
2004,603,1000 480 lb. Bales,19.64 %
2005,640,1000 480 lb. Bales,6.14 %
2006,562,1000 480 lb. Bales,-12.19 %
2007,398,1000 480 lb. Bales,-29.18 %
2008,328,1000 480 lb. Bales,-17.59 %
2009,205,1000 480 lb. Bales,-37.50 %
2010,112,1000 480 lb. Bales,-45.37 %
2011,229,1000 480 lb. Bales,104.46 %
2012,239,1000 480 lb. Bales,4.37 %
2013,244,1000 480 lb. Bales,2.09 %
2014,189,1000 480 lb. Bales,-22.54 %
2015,279,1000 480 lb. Bales,47.62 %
2016,454,1000 480 lb. Bales,62.72 %
2017,559,1000 480 lb. Bales,23.13 %
2018,639,1000 480 lb. Bales,14.31 %
2019,739,1000 480 lb. Bales,15.65 %