Market Year,Exports,Unit of Measure,Growth Rate
1960,137,(1000 MT),NA
1961,87,(1000 MT),-36.50 %
1962,72,(1000 MT),-17.24 %
1963,86,(1000 MT),19.44 %
1964,74,(1000 MT),-13.95 %
1965,126,(1000 MT),70.27 %
1966,28,(1000 MT),-77.78 %
1967,90,(1000 MT),221.43 %
1968,38,(1000 MT),-57.78 %
1969,2,(1000 MT),-94.74 %
1970,18,(1000 MT),800.00 %
1971,60,(1000 MT),233.33 %
1972,102,(1000 MT),70.00 %
1973,98,(1000 MT),-3.92 %
1974,48,(1000 MT),-51.02 %
1975,95,(1000 MT),97.92 %
1976,133,(1000 MT),40.00 %
1977,300,(1000 MT),125.56 %
1978,300,(1000 MT),0.00 %
1979,600,(1000 MT),100.00 %
1980,330,(1000 MT),-45.00 %
1981,250,(1000 MT),-24.24 %
1982,390,(1000 MT),56.00 %
1983,100,(1000 MT),-74.36 %
1984,0,(1000 MT),-100.00 %
1985,170,(1000 MT),NA
1986,622,(1000 MT),265.88 %
1987,300,(1000 MT),-51.77 %
1988,300,(1000 MT),0.00 %
1989,107,(1000 MT),-64.33 %
1990,2,(1000 MT),-98.13 %
1991,0,(1000 MT),-100.00 %
1992,520,(1000 MT),NA
1993,263,(1000 MT),-49.42 %
1994,260,(1000 MT),-1.14 %
1995,75,(1000 MT),-71.15 %
1996,49,(1000 MT),-34.67 %
1997,10,(1000 MT),-79.59 %
1998,167,(1000 MT),"1,570.00 %"
1999,150,(1000 MT),-10.18 %
2000,10,(1000 MT),-93.33 %
2001,5,(1000 MT),-50.00 %
2002,10,(1000 MT),100.00 %
2003,10,(1000 MT),0.00 %
2004,5,(1000 MT),-50.00 %
2005,2,(1000 MT),-60.00 %
2006,50,(1000 MT),"2,400.00 %"
2007,150,(1000 MT),200.00 %
2008,5,(1000 MT),-96.67 %
2009,5,(1000 MT),0.00 %
2010,30,(1000 MT),500.00 %
2011,20,(1000 MT),-33.33 %
2012,20,(1000 MT),0.00 %
2013,5,(1000 MT),-75.00 %
2014,15,(1000 MT),200.00 %
2015,5,(1000 MT),-66.67 %
2016,200,(1000 MT),"3,900.00 %"
2017,100,(1000 MT),-50.00 %
2018,50,(1000 MT),-50.00 %
2019,5,(1000 MT),-90.00 %