Market Year,Production,Unit of Measure,Growth Rate
1960,1051,(1000 MT),NA
1961,1434,(1000 MT),36.44 %
1962,1266,(1000 MT),-11.72 %
1963,1348,(1000 MT),6.48 %
1964,1138,(1000 MT),-15.58 %
1965,1094,(1000 MT),-3.87 %
1966,851,(1000 MT),-22.21 %
1967,1980,(1000 MT),132.67 %
1968,870,(1000 MT),-56.06 %
1969,1451,(1000 MT),66.78 %
1970,1534,(1000 MT),5.72 %
1971,1590,(1000 MT),3.65 %
1972,1343,(1000 MT),-15.53 %
1973,1625,(1000 MT),21.00 %
1974,1744,(1000 MT),7.32 %
1975,2026,(1000 MT),16.17 %
1976,1800,(1000 MT),-11.15 %
1977,2017,(1000 MT),12.06 %
1978,2087,(1000 MT),3.47 %
1979,2408,(1000 MT),15.38 %
1980,2068,(1000 MT),-14.12 %
1981,3277,(1000 MT),58.46 %
1982,1938,(1000 MT),-40.86 %
1983,1806,(1000 MT),-6.81 %
1984,1110,(1000 MT),-38.54 %
1985,3600,(1000 MT),224.32 %
1986,3400,(1000 MT),-5.56 %
1987,1370,(1000 MT),-59.71 %
1988,4400,(1000 MT),221.17 %
1989,1800,(1000 MT),-59.09 %
1990,1500,(1000 MT),-16.67 %
1991,3360,(1000 MT),124.00 %
1992,4050,(1000 MT),20.54 %
1993,2400,(1000 MT),-40.74 %
1994,3700,(1000 MT),54.17 %
1995,2450,(1000 MT),-33.78 %
1996,4200,(1000 MT),71.43 %
1997,2920,(1000 MT),-30.48 %
1998,4830,(1000 MT),65.41 %
1999,2435,(1000 MT),-49.59 %
2000,2760,(1000 MT),13.35 %
2001,4470,(1000 MT),61.96 %
2002,2930,(1000 MT),-34.45 %
2003,5190,(1000 MT),77.13 %
2004,2700,(1000 MT),-47.98 %
2005,5002,(1000 MT),85.26 %
2006,4327,(1000 MT),-13.49 %
2007,4999,(1000 MT),15.53 %
2008,3869,(1000 MT),-22.60 %
2009,4192,(1000 MT),8.35 %
2010,2630,(1000 MT),-37.26 %
2011,4605,(1000 MT),75.10 %
2012,2249,(1000 MT),-51.16 %
2013,4524,(1000 MT),101.16 %
2014,6281,(1000 MT),38.84 %
2015,2744,(1000 MT),-56.31 %
2016,6466,(1000 MT),135.64 %
2017,3743,(1000 MT),-42.11 %
2018,4953,(1000 MT),32.33 %
2019,4000,(1000 MT),-19.24 %