Market Year,Imports,Unit of Measure,Growth Rate
1960,99,(1000 MT),NA
1961,77,(1000 MT),-22.22 %
1962,126,(1000 MT),63.64 %
1963,98,(1000 MT),-22.22 %
1964,154,(1000 MT),57.14 %
1965,154,(1000 MT),0.00 %
1966,195,(1000 MT),26.62 %
1967,104,(1000 MT),-46.67 %
1968,106,(1000 MT),1.92 %
1969,132,(1000 MT),24.53 %
1970,260,(1000 MT),96.97 %
1971,255,(1000 MT),-1.92 %
1972,102,(1000 MT),-60.00 %
1973,256,(1000 MT),150.98 %
1974,114,(1000 MT),-55.47 %
1975,200,(1000 MT),75.44 %
1976,229,(1000 MT),14.50 %
1977,164,(1000 MT),-28.38 %
1978,293,(1000 MT),78.66 %
1979,340,(1000 MT),16.04 %
1980,392,(1000 MT),15.29 %
1981,363,(1000 MT),-7.40 %
1982,448,(1000 MT),23.42 %
1983,559,(1000 MT),24.78 %
1984,600,(1000 MT),7.33 %
1985,598,(1000 MT),-0.33 %
1986,646,(1000 MT),8.03 %
1987,675,(1000 MT),4.49 %
1988,502,(1000 MT),-25.63 %
1989,507,(1000 MT),1.00 %
1990,968,(1000 MT),90.93 %
1991,591,(1000 MT),-38.95 %
1992,205,(1000 MT),-65.31 %
1993,537,(1000 MT),161.95 %
1994,500,(1000 MT),-6.89 %
1995,397,(1000 MT),-20.60 %
1996,618,(1000 MT),55.67 %
1997,534,(1000 MT),-13.59 %
1998,615,(1000 MT),15.17 %
1999,792,(1000 MT),28.78 %
2000,920,(1000 MT),16.16 %
2001,902,(1000 MT),-1.96 %
2002,860,(1000 MT),-4.66 %
2003,995,(1000 MT),15.70 %
2004,1522,(1000 MT),52.96 %
2005,1659,(1000 MT),9.00 %
2006,1323,(1000 MT),-20.25 %
2007,1060,(1000 MT),-19.88 %
2008,1712,(1000 MT),61.51 %
2009,1887,(1000 MT),10.22 %
2010,1595,(1000 MT),-15.47 %
2011,2360,(1000 MT),47.96 %
2012,1793,(1000 MT),-24.03 %
2013,2664,(1000 MT),48.58 %
2014,2632,(1000 MT),-1.20 %
2015,2022,(1000 MT),-23.18 %
2016,2458,(1000 MT),21.56 %
2017,2580,(1000 MT),4.96 %
2018,2222,(1000 MT),-13.88 %
2019,2500,(1000 MT),12.51 %