Market Year,Trade Year Imports from U.S.,Unit of Measure,Growth Rate
1960,0,(1000 MT),NA
1961,33,(1000 MT),NA
1962,113,(1000 MT),242.42 %
1963,80,(1000 MT),-29.20 %
1964,129,(1000 MT),61.25 %
1965,123,(1000 MT),-4.65 %
1966,127,(1000 MT),3.25 %
1967,0,(1000 MT),-100.00 %
1968,0,(1000 MT),NA
1969,0,(1000 MT),NA
1970,0,(1000 MT),NA
1971,143,(1000 MT),NA
1972,77,(1000 MT),-46.15 %
1973,198,(1000 MT),157.14 %
1974,82,(1000 MT),-58.59 %
1975,165,(1000 MT),101.22 %
1976,220,(1000 MT),33.33 %
1977,153,(1000 MT),-30.45 %
1978,284,(1000 MT),85.62 %
1979,317,(1000 MT),11.62 %
1980,205,(1000 MT),-35.33 %
1981,362,(1000 MT),76.59 %
1982,427,(1000 MT),17.96 %
1983,367,(1000 MT),-14.05 %
1984,433,(1000 MT),17.98 %
1985,423,(1000 MT),-2.31 %
1986,481,(1000 MT),13.71 %
1987,478,(1000 MT),-0.62 %
1988,57,(1000 MT),-88.08 %
1989,188,(1000 MT),229.82 %
1990,152,(1000 MT),-19.15 %
1991,78,(1000 MT),-48.68 %
1992,0,(1000 MT),-100.00 %
1993,87,(1000 MT),NA
1994,49,(1000 MT),-43.68 %
1995,8,(1000 MT),-83.67 %
1996,33,(1000 MT),312.50 %
1997,0,(1000 MT),-100.00 %
1998,27,(1000 MT),NA
1999,47,(1000 MT),74.07 %
2000,116,(1000 MT),146.81 %
2001,22,(1000 MT),-81.03 %
2002,49,(1000 MT),122.73 %
2003,65,(1000 MT),32.65 %
2004,220,(1000 MT),238.46 %
2005,204,(1000 MT),-7.27 %
2006,0,(1000 MT),-100.00 %
2007,0,(1000 MT),NA
2008,0,(1000 MT),NA
2009,0,(1000 MT),NA
2010,0,(1000 MT),NA
2011,0,(1000 MT),NA
2012,0,(1000 MT),NA
2013,0,(1000 MT),NA
2014,0,(1000 MT),NA
2015,0,(1000 MT),NA
2016,51,(1000 MT),NA
2017,0,(1000 MT),-100.00 %
2018,53,(1000 MT),NA
2019,0,(1000 MT),-100.00 %