Market Year,Yield,Unit of Measure,Growth Rate
1960,2,(MT/HA),NA
1961,2,(MT/HA),0.00 %
1962,1,(MT/HA),-50.00 %
1963,2,(MT/HA),100.00 %
1964,1,(MT/HA),-50.00 %
1965,1,(MT/HA),0.00 %
1966,1,(MT/HA),0.00 %
1967,1,(MT/HA),0.00 %
1968,1,(MT/HA),0.00 %
1969,1,(MT/HA),0.00 %
1970,1,(MT/HA),0.00 %
1971,1,(MT/HA),0.00 %
1972,1,(MT/HA),0.00 %
1973,1,(MT/HA),0.00 %
1974,1,(MT/HA),0.00 %
1975,1,(MT/HA),0.00 %
1976,1,(MT/HA),0.00 %
1977,1,(MT/HA),0.00 %
1978,1,(MT/HA),0.00 %
1979,1,(MT/HA),0.00 %
1980,1,(MT/HA),0.00 %
1981,1,(MT/HA),0.00 %
1982,1,(MT/HA),0.00 %
1983,1,(MT/HA),0.00 %
1984,2,(MT/HA),100.00 %
1985,1,(MT/HA),-50.00 %
1986,1,(MT/HA),0.00 %
1987,1,(MT/HA),0.00 %
1988,1,(MT/HA),0.00 %
1989,1,(MT/HA),0.00 %
1990,1,(MT/HA),0.00 %
1991,3,(MT/HA),200.00 %
1992,3,(MT/HA),0.00 %
1993,1,(MT/HA),-66.67 %
1994,1,(MT/HA),0.00 %
1995,2,(MT/HA),100.00 %
1996,2,(MT/HA),0.00 %
1997,2,(MT/HA),0.00 %
1998,2,(MT/HA),0.00 %
1999,1,(MT/HA),-50.00 %
2000,2,(MT/HA),100.00 %
2001,2,(MT/HA),0.00 %
2002,2,(MT/HA),0.00 %
2003,3,(MT/HA),50.00 %
2004,2,(MT/HA),-33.33 %
2005,2,(MT/HA),0.00 %
2006,4,(MT/HA),100.00 %
2007,3,(MT/HA),-25.00 %
2008,2,(MT/HA),-33.33 %
2009,2,(MT/HA),0.00 %
2010,2,(MT/HA),0.00 %
2011,2,(MT/HA),0.00 %
2012,2,(MT/HA),0.00 %
2013,2,(MT/HA),0.00 %
2014,2,(MT/HA),0.00 %
2015,3,(MT/HA),50.00 %
2016,2,(MT/HA),-33.33 %
2017,3,(MT/HA),50.00 %
2018,3,(MT/HA),0.00 %
2019,3,(MT/HA),0.00 %